belongs_to_collection,release_date,title,vote_average
,3/1/1992,Perry Mason: The Case of the Fatal Framing,5
,5/5/1992,Perry Mason: The Case of the Reckless Romeo,0
,4/1/2004,Galaxy Hunter,5
,12/9/2016,All We Had,5.8
"{'id': 48188, 'name': 'Poison Ivy Collection', 'poster_path': '/wKFflwLibrLXg7U8hcXnzGyziXz.jpg', 'backdrop_path': '/hFktEH1hJsf4kzTnYjJB8rMiJpl.jpg'}",7/27/2008,Poison Ivy: The Secret Society,4.2
,10/8/2013,Superheroes: A Never-Ending Battle,8
,5/5/2016,Garfunkel and Oates: Trying to be Special,7.7
,10/5/2016,The Unknown Girl,5.9
,9/7/2016,Eternity,5.4
,3/1/2013,Brian Posehn: The Fartist,7.4
,2/5/2011,Billy Gardell: Halftime,0
,8/26/2016,Heroes Wanted,4.5
,12/25/2016,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,6.5
,12/29/2016,Viking,5.1
"{'id': 374930, 'name': 'Snow Queen Collection', 'poster_path': '/r2ONwf2TcKULpPAEpqfOAK2bgXi.jpg', 'backdrop_path': '/S53UcTvYXmfwNm5dOqXu6yMbuN.jpg'}",12/29/2016,The Snow Queen 3: Fire and Ice,8.5
,5/31/1973,El taxi de los conflictos,0
,11/21/1920,Life of the Party,0
,6/1/2009,Good Fortune,0
,12/2/2010,Hunting Season,7.1
,1/1/1985,The Broken Landlord,8.4
,8/7/1986,Playing Beatie Bow,0
,3/2/2017,The Man,0
,12/11/2013,My Beautiful Country,4.3
,4/28/2016,Sheep & Wolves,6.5
,1/24/2001,The Gaul,2.9
,10/13/2016,Tonio,6.3
,11/4/2016,A Street Cat Named Bob,7.5
"{'id': 155421, 'name': 'Mr. Vampire Collection', 'poster_path': None, 'backdrop_path': None}",8/15/1986,Mr. Vampire 2,7
,1/1/2005,Brothers in Arms,2.7
"{'id': 52785, 'name': 'xXx Collection', 'poster_path': '/omRo1Pw4phlELRgYOQ7RyAlccLt.jpg', 'backdrop_path': '/g9Q2dmbxd1F2hHB5VslPbqGM1JV.jpg'}",1/13/2017,xXx: Return of Xander Cage,5.5
,1/12/2017,The Bye Bye Man,5.1
,5/26/2016,Blood on the Mountain,8.7
,2/10/2017,Prevenge,6.1
"{'id': 325470, 'name': 'The Lego Movie Collection', 'poster_path': '/hsBJxdgF1BK1M98dWAaikvTlym7.jpg', 'backdrop_path': '/sQNiamRBTh2aTjQ8aYCJ69MngTM.jpg'}",2/8/2017,The Lego Batman Movie,7.2
,10/22/2007,The Beckoning Silence,6.7
,7/3/2015,Closer to God,5.5
,11/1/2012,Of Two Minds,8
,9/20/2002,Bigfootville,0
,10/18/2011,DC Showcase: Catwoman,6.5
,4/19/2014,Batman Beyond Darwyn Cooke's Batman 75th Anniversary Short,7.7
,4/9/2014,Batman: Strange Days,7.5
,10/15/2013,Superman 75,7.4
,11/15/2001,The Victoria's Secret Fashion Show 2001,0
,10/9/2000,Christmas Time In South Park,7.8
,1/1/1995,The Spirit of Christmas,7.7
,12/1/1992,The Spirit of Christmas,7
"{'id': 101385, 'name': 'Trailer Park Boys Collection', 'poster_path': '/rnpQXPaiiS90KidhNI34maU9aiW.jpg', 'backdrop_path': '/wy72negkJZcoOKkYkaWR7qgSXSF.jpg'}",12/7/2008,Trailer Park Boys: Say Goodnight to the Bad Guys,7.6
,2/16/2004,She's Too Young,5.4
,11/9/2010,Superman/Shazam!: The Return of Black Adam,7.1
,10/1/2014,Swearnet Live,6
,5/1/2014,Trailer Park Boys - Live in F**kin' Dublin,6
,9/9/2016,When the Bough Breaks,5.3
,4/18/1989,Déjà vu,7.9
,11/10/2016,The Good Boy,5.1
,7/6/1957,"What's Opera, Doc?",7.6
,9/7/2016,Frantz,7.5
,9/10/2015,Lace Crater,4.8
,12/20/2016,Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,7.1
,11/20/2016,The 24 Hour War,7.8
,6/25/2004,Deep Evil,3.3
,11/11/2016,Full Speed,5.8
,10/4/2005,Fear of the Flesh: The Making of The Fly,8
,12/26/1977,The Black Panther,5.5
,1/1/1917,Mothers of Men,0
,2/22/2017,A Wedding,6.3
,10/7/2016,The Hollow,5
,5/2/2016,Wizard Mode,7
,6/15/2016,The Ideal,5.3
,10/30/1992,Perry Mason: The Case of the Heartbroken Bride,0
,10/24/2015,The Unspoken,4.5
,10/30/1970,Bartleby,0
,10/29/1979,Freedom Road,3.5
,12/15/2016,The Invisible Guest,8.1
,11/30/2013,How Videogames Changed the World,6.9
,2/19/1993,Perry Mason: The Case of the Skin-Deep Scandal,0
,1/27/2017,Kung Fu Yoga,5.9
,2/24/2017,Rangoon,7
"{'id': 434533, 'name': 'Death Race Original Collection', 'poster_path': '/kpdCNcuQsDlBQ1ZPF0e2P5cqIXB.jpg', 'backdrop_path': '/o5rLt7nR0YMxNJqTuO5v3MIMPcj.jpg'}",1/17/2017,Death Race 2050,3.7
,4/23/2016,The Night My Mother Killed My Father,6.3
,4/16/2016,Burn Country,5.3
"{'id': 23456, 'name': 'One Piece Collection', 'poster_path': '/nvAPotUDNcKStSOv2ojGZBNOX8A.jpg', 'backdrop_path': '/3RqSKjokWlXyTBUt3tcR9CrOG57.jpg'}",7/23/2016,One Piece Film: GOLD,7.3
,1/1/1986,The Zero Boys,5.3
,11/4/2016,"Dana Carvey: Straight White Male, 60",6.6
,5/14/2016,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,7.4
,1/20/2017,Trespass Against Us,6
,12/21/2016,Master,7
,9/16/2015,The Perfect Physique,5.5
,1/13/2017,Claire in Motion,4.9
,8/6/2003,Homerun,5.5
,9/16/2016,The White Helmets,7.9
,4/11/1935,The Miracle Rider,4
,12/24/1943,The Phantom,0
,5/12/1993,Angelfist,6
,1/1/1993,Kill Zone,1
,1/1/1991,Dune Warriors,3.3
,2/19/2011,Eddie Griffin: You Can Tell 'Em I Said It,6.4
,1/1/1988,The Sisterhood,3.5
,1/1/1987,Equalizer 2000,4.5
,12/1/1986,Silk,4.3
,4/11/1985,Wheels of Fire,5.1
,8/4/2005,Bloodfist 2050,2.7
,8/1/2016,How to Win the US Presidency,0
,7/16/2016,Hitler's Olympics,0
,4/29/2014,The Sklar Brothers: What Are We Talking About?,4
,4/20/2015,All Work All Play: The Pursuit of eSports Glory Live,5.9
,1/14/2007,Demetri Martin. Person.,6.9
,5/16/1998,Jeff Foxworthy: Totally Committed,0
,3/12/2012,Them Idiots: Whirled Tour,6.9
,12/10/1976,Mama,5.8
,10/22/2014,The Secret of Arkandias,5.6
,4/29/2009,Hallelujah!,5.5
,12/1/2016,Past Life,8
,8/24/2005,Singapore GaGa,0
,1/6/2017,Coin Heist,5.1
,10/21/2016,I'm Not Ashamed,7
,12/3/2016,A Cinderella Christmas,6.4
,11/4/2016,Rupture,5.5
,5/13/2016,Buddha in a Traffic Jam,5
,9/16/2016,The Young Offenders,7.5
,12/2/2016,Best and Most Beautiful Things,6
,3/28/2014,Purgatory,5.3
,6/3/2016,Wedding Bells,5.5
,5/14/2016,Tulips in Spring,5.1
,8/20/2016,Summer Love,6.1
,12/20/2015,Christmas Land,6.7
,12/19/2013,Die goldene Gans,0
,6/1/1994,The Watermill Princess,5.5
,9/26/1964,The Golden Goose,6.5
,11/20/2011,A Christmas Wish,5.9
,5/4/2016,Tini: The New Life of Violetta,6.8
,12/8/2013,Christmas Belle,5.8
,12/1/1982,The Third Prince,5.3
,2/26/1983,The Salt Prince,5.1
,11/10/2009,Christmas Angel,6.5
,12/14/2005,Christmas in Boston,5.5
,8/13/2016,Summer in the City,5
,9/8/2013,Marvel One-Shot: Agent Carter,7.5
,8/20/2016,Cup of Love,2
,11/29/2015,A Prince for Christmas,6.1
"{'id': 25542, 'name': 'An American Girl Collection', 'poster_path': '/5JpcRXXuFSgYUgtSKvcdQE9LaMS.jpg', 'backdrop_path': '/1jt2T8oHR1NlzXr7TmSp0Ly9m9D.jpg'}",5/30/2016,Lea to the Rescue,5.4
"{'id': 87251, 'name': 'The Good Witch Collection', 'poster_path': '/nWoVE7OBMLlVqTDURDsLXGFc1Af.jpg', 'backdrop_path': None}",2/7/2009,The Good Witch's Garden,5.8
"{'id': 87251, 'name': 'The Good Witch Collection', 'poster_path': '/nWoVE7OBMLlVqTDURDsLXGFc1Af.jpg', 'backdrop_path': None}",10/24/2010,The Good Witch's Gift,5.5
,11/14/2016,Advance & Retreat,6.7
,10/25/2011,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,7
,11/20/2016,A December Bride,5.9
,10/25/2016,Girlfriends of Christmas Past,0
,12/10/2016,A Nutcracker Christmas,6.2
,11/4/2016,The Mistletoe Promise,6.5
,8/6/2016,Late Bloomer,6.7
,12/18/2016,Sleigh Bells Ring,5.7
,10/9/2010,After the Fall,6
,4/8/2001,Lucky Girl,6
,9/29/2016,The King's Choice,6.6
"{'id': 14563, 'name': 'The Ring Collection', 'poster_path': '/500xj7l72BojMZ3tNBJY46tg5YJ.jpg', 'backdrop_path': '/jXlFymc442CEMB5h3d62GeJefnW.jpg'}",2/1/2017,Rings,4.8
,12/2/2016,Sword Master,6.8
"{'id': 123751, 'name': 'Blood Island (Hammer series)', 'poster_path': None, 'backdrop_path': None}",12/1/1964,The Secret of Blood Island,0
,5/17/2014,Beautiful Noise,6.6
,1/1/1978,Special Delivery,7.3
,4/9/2011,Ferocious Planet,3.8
,3/26/2002,We Can Be Heroes!,3.3
,9/11/2004,Max and Mona,8
"{'id': 279715, 'name': 'Beck Collection', 'poster_path': '/8Kzrc2bsGt0RUyTN6vHvh4yu0QO.jpg', 'backdrop_path': None}",5/28/1998,Beck 06 - Monstret,5
,1/20/1991,Bejewelled,0
,4/6/1969,Bokhandlaren som slutade bada,6
,3/23/2000,Födelsedagen,0
,12/24/2000,Gossip,3
"{'id': 374202, 'name': 'Kizumonogatari', 'poster_path': '/2GC0vABosnCsu1k91HgHtpHMmdY.jpg', 'backdrop_path': '/7yMlkhaC1Qc4mypplTG9prZJUds.jpg'}",8/19/2016,Kizumonogatari Part 2: Nekketsu,8.9
,8/9/1979,Cadena perpetua,7.3
,9/27/1973,25 Fireman's Street,5
"{'id': 441443, 'name': 'Ukraine Trilogy', 'poster_path': None, 'backdrop_path': None}",4/13/1928,Zvenigora,7.8
,5/21/1993,Perry Mason: The Case of the Telltale Talk Show Host,6
,4/10/2014,Innocent Thing,6.9
,6/1/1973,Terminal Island,6
,5/12/2011,Hard Labor,4.5
,11/29/1993,Perry Mason: The Case of the Killer Kiss,6
,4/26/2006,The Machine,6.9
,12/4/2014,Gooische Vrouwen 2,5.8
,3/10/2011,Vipers Nest,5.2
,10/7/2016,Raw,7
,11/10/2011,You Are My Pet,6.1
,1/13/2017,Clinical,5.4
,9/6/2013,In the Name of...,6.4
,3/12/2016,Teenage Cocktail,5.8
,12/17/1993,Perry Mason: The Case of the Wicked Wives,7
,10/15/1901,The Big Swallow,5.9
,4/1/2016,Sold,7.2
,10/22/1943,Fin'n Catty,5.5
,8/21/1942,Fresh Hare,7.3
,9/19/2006,Joe Rogan: Live,6.1
,11/26/2016,Legends of the Hidden Temple,7.7
,8/11/2000,Año Mariano,2
,10/1/2016,We Are the Flesh,6
,8/25/2016,You're Killing Me Susana,5.1
,2/23/1942,The Black Sheep of Whitehall,10
,11/9/1994,A Perry Mason Mystery: The Case of the Grimacing Governor,8
,4/10/1995,A Perry Mason Mystery: The Case of the Jealous Jokester,7.3
,7/20/2007,"Basic Sanitation, the Movie",7
,10/4/2014,"Margarita, with a Straw",6.6
,7/31/2015,The Bosses,8
,3/29/2009,Jim Gaffigan: King Baby,7.5
,1/10/2017,Jim Gaffigan: Cinco,7.6
,4/19/2014,Mala Mala,7
,5/17/2015,Isabella Rossellini's Green Porno Live,0
,3/4/2016,Welcome to Norway,5.8
,6/15/1966,"Munster, Go Home!",5.7
,7/8/2016,Men Go to Battle,5.3
,1/12/2017,Eu Fico Loko,8.3
,8/1/1970,Карусель,7
,8/24/2016,Staying Vertical,5.4
,10/11/2015,Very Big Shot,8
,1/13/2017,The Crash,5.2
,3/11/2015,Don't Grow Up,4.3
"{'id': 374202, 'name': 'Kizumonogatari', 'poster_path': '/2GC0vABosnCsu1k91HgHtpHMmdY.jpg', 'backdrop_path': '/7yMlkhaC1Qc4mypplTG9prZJUds.jpg'}",1/6/2017,Kizumonogatari Part 3: Reiketsu,9.4
,12/21/1986,Promise,0
"{'id': 455278, 'name': 'My Mom is a Character Collection', 'poster_path': None, 'backdrop_path': '/4xdfkEyV8P8PzsihbVgFZS0AMhQ.jpg'}",12/22/2016,My Mom Is a Character 2,7.8
,5/5/2016,Scrappin',5.4
,8/15/2003,The Unemployment Club,0
,1/1/1988,Troublemaker,0
,1/1/1978,Hotel Magnezit,5
,1/1/1967,The London Nobody Knows,5.5
,6/30/1907,Tunneling the English Channel,7.5
,10/22/2016,Afterimage,6.8
,11/4/2016,I'm a Killer,7.6
"{'id': 424842, 'name': 'Maigret (Rowan Atkinson) Collection', 'poster_path': '/tMG2Um7x7IRDHshI6wXeRuxePJd.jpg', 'backdrop_path': '/vEcvyHh7ArUz3mNQeS5KGkJXh97.jpg'}",12/5/2016,Maigret's Dead Man,6.7
,8/8/2016,ISRA 88,5
"{'id': 404609, 'name': 'John Wick Collection', 'poster_path': '/uGhPxTrmT5yASzZrR1oz1ft9UWr.jpg', 'backdrop_path': '/fSwYa5q2xRkBoOOjueLpkLf3N1m.jpg'}",2/8/2017,John Wick: Chapter 2,6.7
,2/24/2017,Get Out,7.2
"{'id': 453993, 'name': 'The Wolverine Collection', 'poster_path': '/8Ht4a5A5Ypxh0PjbVoRTzm1kAu3.jpg', 'backdrop_path': '/QtSxEuCwcZSfCTMZfER3nHDVsG.jpg'}",2/28/2017,Logan,7.6
,3/8/2017,Kong: Skull Island,6.2
,10/17/1993,Sud,7.2
,1/24/2001,Strange Frequency,4
,4/7/2017,City of Tiny Lights,6
"{'id': 424202, 'name': 'Trainspotting Collection', 'poster_path': '/6W9nyZ3Daq4zHkfTRIzNgWg6ai6.jpg', 'backdrop_path': '/rIrAfUd5wjkGoDkecNx1aXjGJLu.jpg'}",1/27/2017,T2 Trainspotting,7.1
,10/28/1912,The Land Beyond the Sunset,7
,5/2/2012,Ánima Buenos Aires,4.3
,1/1/2009,Every Second Counts,6
,,Patient Zero,10
,5/31/2016,Passage to Mars,4.8
,8/31/2017,Science Fiction Volume One: The Osiris Child,5.4
,10/4/2015,MindGamers,6
"{'id': 479319, 'name': 'George Carlin Comedy Collection', 'poster_path': None, 'backdrop_path': None}",5/2/1986,George Carlin: Playin' with Your Head,7.1
,2/17/1979,Murder by Natural Causes,0
,3/2/2017,Before I Fall,6.8
,3/17/2016,The Belko Experiment,6.1
,7/14/1957,A Sun-Tribe Myth from the Bakumatsu Era,5
,9/12/2008,Tear This Heart Out,6.9
,11/5/2015,"Trenk, the Little Knight",6
,11/22/2012,Unbreakable: The Western States 100,7.8
,5/5/1962,Νόμος 4000,9
,2/20/1966,tzeni tzeni,8.5
,12/2/1963,The Red Lanterns,8.3
,10/18/1965,Mia trelli... trelli oikogeneia,7
,1/1/1964,Miss Director,7.1
,11/12/1955,The Hurdy-Gurdy,8
,1/1/1971,Μαριχουάνα Στοπ !,3.5
,12/6/1965,Υπάρχει Και Φιλότιμο,9
,3/1/2015,Be My Cat: A Film for Anne,6.9
,9/30/2001,Jet Boy,7.2
,10/31/1984,Day of the Reaper,0
,8/4/2007,Kaidan,5.7
,10/8/2009,Macabre,6.4
,11/5/2005,The Booth,8.5
,6/23/2017,The Big Sick,7.7
,8/11/2017,Ingrid Goes West,7.6
,1/19/2017,I Don't Feel at Home in This World Anymore,6.5
,1894-01-01,Falling Cat,6
,2/3/2016,Chocolat,7
,8/15/1989,George's Island,8
,8/1/1983,Demidovy,10
,9/18/2016,The Case of: JonBenét Ramsey,7
,3/18/1984,The Love of Ulysses,0
,4/27/2017,King Arthur: Legend of the Sword,6.5
,10/21/2016,The Rolling Stones Olé Olé Olé! : A Trip Across Latin America,8
,9/24/2016,Headshot,6.4
,11/11/2016,100 Streets,6.2
,12/1/2016,Incarnate,5.1
,12/10/2015,Dog,8.4
,2/15/1980,Saturn 3,5.3
,8/7/1963,For Love or Money,0
,3/16/2017,Beauty and the Beast,6.8
,1/20/2017,Take the 10,5
,3/24/1955,Man Without a Star,6.4
,12/22/1979,Schalcken the Painter,5.3
,10/19/1964,The Black Torment,5.8
,1/1/1962,Crosstrap,0
,4/13/2016,"Love, Lies",7.7
,11/19/1974,Happy Anniversary and Goodbye,5
,1/1/1960,Mughal-e-Azam,7.7
,10/21/2016,Boo! A Madea Halloween,5.3
,3/22/2016,Spring Broke,6
,7/21/2009,Coco,4.4
,12/7/2005,Olé !,4.9
,3/23/2017,The Boss Baby,6.1
,1/24/2017,Justice League Dark,7
,10/12/2015,"Liar, Liar, Vampire",7.2
,3/11/2016,Beware the Slenderman,6
,3/9/2013,Twist of Faith,6.5
,9/25/2015,The Similars,5.3
,8/4/2011,"Father, Son & Holy Cow",0
,11/25/2016,In Between,7.4
,8/29/2013,The Stolen Years,6.4
,6/24/2009,"I Travel Because I Have to, I Come Back Because I Love You",6.3
,2/27/1973,One Man's War,5.2
,1/24/1937,Juha,5
,1/1/1938,Stolen Death,5
,3/10/1972,When the Heavens Fell,5
,10/17/1937,Juurakon Hulda,0
,6/9/1978,The Punk Rock Movie,5.5
,2/23/1993,Lake Consequence,3.8
,8/15/2015,Dangerous Company,4
,1/5/2016,Mercury Plains,5.1
,7/6/1995,Out of the Dark,6.8
,9/11/2014,Nena,6.5
,1/19/2017,The other me,8
,12/15/2016,Τέλειοι Ξένοι,0
,1/1/2007,Mia melissa ton Avgousto,8
,12/29/2009,The Island,7.3
,12/22/2011,The Island 2: The Hunt for the Lost Treasure,6.3
,11/27/2008,The Policeman of the 16th Precinct,4.1
,6/2/2016,Ukonvaaja,5
,9/16/2016,Thank You for Your Service,0
,11/30/2017,Machines,0
,4/9/1987,Les Patterson Saves the World,2
,9/13/1977,Diary of a Lover,5
"{'id': 174218, 'name': 'The Howling Collection', 'poster_path': '/ci6CZhFFLm0r3fDomXlRAmCEesr.jpg', 'backdrop_path': '/a0UuiTYxqMmj5Ll26rORaFoTKBc.jpg'}",1/1/1995,The Howling: New Moon Rising,2.2
,2/11/2016,Curumim,0
,10/27/2017,Call Me by Your Name,0
,10/10/1974,Wet Dreams,4
"{'id': 17255, 'name': 'Resident Evil Collection', 'poster_path': '/bqnMPsZr9vhjJIwLxc3XzHkYORM.jpg', 'backdrop_path': '/8utTJ9WoQeYcZ0Ztciv6auqwLXl.jpg'}",12/23/2016,Resident Evil: The Final Chapter,5.9
,3/31/2016,SelfieParty,0
,6/1/1996,Nightjohn,7
,9/18/1944,Abou Ben Boogie,0
,3/27/1944,The Greatest Man in Siam,0
,5/25/1934,Allez Oop,5
,10/14/1990,Escape from the 'Liberty' Cinema,5.2
,8/2/1990,Return Home,5
,5/22/1997,True Love and Chaos,0
,2/8/2009,Prime Mover,4
,11/13/2015,I Remember You,5.2
,5/19/2016,El Hilo Rojo,6.6
,9/15/2016,"Gilda, No Me Arrepiento de Este Amor",5.8
,7/10/1997,Dibu: La Película,0
,7/2/1998,Dibu 2: La venganza de Nasty,0
,1/1/2002,Dibu 3,0
,4/8/2016,Night of Something Strange,6.1
,9/9/2016,American Summer,0
,1/29/2016,Invention of Trust,0
,10/14/2016,The River Thief,9.3
,7/10/2008,The Investigator,6.8
,4/26/2007,11 Minutes Ago,4.3
,1/27/2017,iBoy,6
,1/19/2017,L'ora legale,7
,8/15/2007,Finding Rin Tin Tin,3
,10/27/2016,Die Beautiful,7.5
,2/24/2016,Poveda,0
,7/29/2016,Homo Sapiens,7.3
,10/15/2013,"Taşkafa, Stories of the Street",0
,4/11/2013,The Film Critic,5
,1/5/1973,Love Me Deadly,4.9
,10/2/2016,Two Lovers and a Bear,6.8
,4/22/1915,The Captive,6
,10/12/2013,Human,8.8
,10/7/2016,Better Off Single,4.9
,3/3/2017,Catfight,6.1
,9/3/2003,Jump London,0
,7/7/2017,A Ghost Story,6.8
,3/29/2017,Ghost in the Shell,5.9
,1/20/1960,Private Property,7.5
,1/13/1999,The Color of Lies,4.9
,12/8/2016,As You Are,7.3
,4/8/2016,Maalik,6.9
,1/29/2016,Lost in the Pacific,5.6
,5/29/2015,The Primary Instinct,7
,2/2/2017,Pork Pie,6
,11/8/2006,Fragments of Antonin,7.5
,11/30/2016,Journey To Greenland,5.9
,1/31/2017,Bill Burr: Walk Your Way Out,6.8
,10/2/2014,Delirium,5.5
,8/31/2016,Nocturama,7.1
"{'id': 129748, 'name': 'The Gruffalo Collection', 'poster_path': '/fAbFSN22r0JVGAGsZUTqv35yAj6.jpg', 'backdrop_path': '/uAsJBnUgCX1Tzl68sJLUGt6REgS.jpg'}",10/5/2016,Stick Man,7.5
,11/3/2011,The Foster Boy,7
,11/6/2010,Great Migrations,8
,11/30/2016,Dalida,6.8
,4/1/2016,Abbey Grace,5
,2/17/2017,XX,5
,6/18/2016,Sadako vs. Kayako,5.5
,4/28/2016,Kills on Wheels,8
,1/3/2017,Ok Jaanu,6
,4/12/2013,Open Road,5.2
,11/18/1998,August 32nd on Earth,5.9
,3/11/2016,Ghostland: The View of the Ju'Hoansi,0
,1/29/2016,Ten Meter Tower,7
,1/1/1980,Say a Word for the Poor Hussar,5.8
,2/11/2006,The Feast of the Goat,4.7
,9/18/2003,"Ready, Steady, Charlie!",6.8
,9/12/2011,Amsterdam Heavy,2.8
,1/17/2008,The Friend,6
,3/22/2010,Devolved,1.5
,10/16/2008,Die Geschichte vom Brandner Kaspar,6.1
,10/5/2006,Late Bloomers,6.7
,7/30/1987,Rabbit Heart,0
,6/18/2004,Hunger auf Leben,0
,12/28/2006,Rascals on the Road,7.1
,1/9/2007,Stan Lee Presents: Mosiac,5
,5/11/2008,Never Cry Werewolf,5.3
,1/11/2012,Offroad,5.3
,10/12/2007,On the Doll,7.4
,4/15/1987,Peng! Du bist tot!,0
,2/1/2012,Zettl,5.5
,1/1/2004,The Ring Thing,5.7
,11/18/1977,Death Is My Trade,6.5
,6/17/2013,SAGA: Curse of the Shadow,5
"{'id': 344830, 'name': 'Fifty Shades Collection', 'poster_path': '/oJrMaAhQlV5K9QFhulFehTn7JVn.jpg', 'backdrop_path': '/fUHFCnqGHozSiEF8yT7dhE1OKnY.jpg'}",2/8/2017,Fifty Shades Darker,6
,3/24/2017,Wilson,6.1
,1/1/2007,A Gathering of Cats,2.7
,1/1/1929,My Grandmother,8
,2/22/2016,Lost & Found,5.5
,1/26/2017,Attraction,6.1
,1/4/2017,Family Heist,6
,9/22/2016,The Master: A Lego Ninjago Short,2.5
,12/28/1968,Would-Be Gentleman,0
,11/8/2016,Mumford & Sons: We Wrote This Yesterday,8
,6/3/1938,Wives Under Suspicion,0
,4/11/2003,Henri Cartier-Bresson: The Impassioned Eye,7.8
,2/3/2017,Don't Knock Twice,5.3
,4/7/2017,The Ticket,5.6
,5/16/1947,Dishonored Lady,4.6
,5/25/1945,Molly and Me,6.8
,10/28/2002,Escape from the Newsroom,5
,4/17/2016,Pearl,7.2
,2/15/2016,Blind Vaysha,7.9
,7/1/2016,Pear Cider and Cigarettes,7.3
,11/6/2013,The Beautiful Beast,5.5
,3/6/1967,The Departure,6.3
,7/10/2015,Tikkun,7
,4/8/1999,Cosy Dens,8.6
,2/24/2006,Blood Curse,5.9
,9/23/2009,How to Draw a Perfect Circle,5.3
,3/3/2017,Lavender,5.5
,1/20/2017,Detour,5.9
,3/12/2016,My Father Die,6.6
,1/13/2017,The Book of Love,6.6
,8/25/2016,Red Billabong,5.1
,12/26/2016,Onus,6
,12/16/2016,The Hollow Point,6.5
,10/2/2015,Convenience,5.5
,4/15/2016,A Sunday Kind of Love,6.6
,9/12/2011,The Body Farm,6.5
,10/5/2015,The Great Gilly Hopkins,6.1
,9/4/2014,Twilight Online,6.5
,10/2/2013,Hope,8.1
,2/19/2015,Zhongkui: Snow Girl and the Dark Crystal,5.2
,3/11/2009,You Will Be Mine,5.8
,2/3/2017,The Other Side of Hope,7.3
,1/27/2017,Trumped: Inside the Greatest Political Upset of All Time,7.8
,1/2/1997,Today,0
,10/4/2015,Lift me up,5.3
,6/12/2016,Chapter & Verse,7
,10/10/2007,Forbidden to Forbid,7
,2/26/1973,The Stranger,3.3
,5/30/2009,Safe Harbor,4
,10/14/2016,Ozzy,6.2
,1/10/2017,Hickey,4.3
,10/26/2007,Tricks,7.3
,11/20/1970,Night Chase,0
,2/23/2017,The Man Who Was Too Free,0
,3/29/2017,Orphan,6.6
,10/12/2010,Kung Fu Wing Chun,6.2
,1/19/2017,Black Snow,6
"{'id': 264335, 'name': 'The Eye Collection', 'poster_path': '/8kPLIuWZatb3krc4l16pnkfokjo.jpg', 'backdrop_path': '/rki7UPSFEaUPuitlQ9Iq421p137.jpg'}",10/13/2010,The Child's Eye,4.3
,5/4/2016,Death by Death,4
,1/17/2017,Neal Brennan: 3 Mics,7.1
,2/24/2015,Devo: Hardcore Live!,4.5
,12/27/2013,Enemy Empire,4.5
,10/22/2012,The Doors - Live at the Bowl '68,6.1
,1/1/1988,The Spike Jones Story,0
,10/5/2007,Zappa Plays Zappa,0
,1/26/1994,La vengeance d'une blonde,6.1
,11/11/2016,Lazy Eye,6.7
,2/7/2017,"Michael Bolton's Big, Sexy Valentine's Day Special",8.3
,4/5/2016,Temps,5.3
,6/16/2011,Eine Insel namens Udo,5.9
,12/22/1998,Lucky and Zorba,7.2
,10/6/2016,Mine,6.5
,2/24/2016,A Decent Man,6.1
,8/30/2016,Third Guest,0
,12/26/1937,The Cantor's Son,0
,3/24/2002,The Tom Green Subway Monkey Hour,9.3
,11/3/2016,The Tip of the Iceberg,5.8
,2/1/1962,Deadly Duo,0
,1/27/2017,Lost in Florence,4.6
,11/16/2016,Hunter Gatherer,6.3
,2/15/1946,Behind Green Lights,5.5
"{'id': 436483, 'name': 'Bad Kids Collection', 'poster_path': '/fMcB1HfoEJHyMFvHXTBWVCHbEnZ.jpg', 'backdrop_path': '/9urudq4gLyuTN3b2aiWv9AtDv3k.jpg'}",1/13/2017,Bad Kids of Crestview Academy,4.8
,12/31/1958,Anticipation of the Night,7.2
,1/1/1951,Has the Film Already Started?,10
,11/27/2016,Come Together,7.6
,4/1/2006,A Long Walk,7.7
,4/25/2013,Leaving on the 15th Spring,6.3
,11/8/2016,The Frontier,6.2
,10/4/2008,Old Partner,7.7
,10/27/2010,Postcard,4.6
,4/6/2016,Couple in a Hole,5.8
,9/11/2009,Take Me Far Away,6.1
,8/17/2015,Tashi and the Monk,9
,8/26/2016,Uncle Kent 2,5
,4/23/2014,Sarajevo,7.1
,6/16/2007,Maiko Haaaan!!!,6.5
,11/30/2016,King of the Belgians,5
,4/16/2016,The Happy Film,6
,3/28/2002,Tiramisu,5.5
,11/28/1996,Tykho Moon,5
,11/17/2016,Queen of Spades,8
"{'id': 448758, 'name': 'Burnout Collection', 'poster_path': '/o9lgTHoVWA5uzJYyZElwPaMfSQy.jpg', 'backdrop_path': None}",10/12/2016,Burnout 2,8
,12/22/2016,Dreamfish,0
,4/1/1916,The Queen of Spades,6.3
,6/30/2016,Innsaei,6
,10/1/2012,Flight of the Butterflies,7.5
,9/18/2010,Jimi Hendrix: Voodoo Child,7.6
,1/2/2012,Sex in the Comix,5.7
,9/12/2013,SampleThis,6
,9/16/2016,Pink,8
,12/24/2014,The Taking of Tiger Mountain,6.4
,12/10/2014,Brabançonne,8
,11/19/2016,To Stay Alive - A Method,0
,1/25/2006,The Forsaken Land,3.4
,5/15/2014,An Eye for Beauty,2.9
,2/5/2016,Floyd Norman: An Animated Life,7.3
